cuisine_type,American,Chinese,French,Indian,Italian,Japanese,Korean,Mediterranean,Mexican,MiddleEastern,Southern,Spanish,Thai,Vietnamese,order_id,restaurant_name,day_of_the_week,weekend,cost_of_the_order,food_preparation_time,delivery_time,rating,rating_ge_5,rating_le_3
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476982,Bareburger,Weekend,1,8.73,21,19,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477294,The Meatball Shop,Weekend,1,12.18,22,26,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476963,Blue Ribbon Fried Chicken,Weekday,0,13,33,29,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478270,Shake Shack,Weekend,1,14.02,20,21,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477733,Lucky Strike,Weekend,1,29.25,21,21,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476911,Bareburger,Weekend,1,8.63,21,22,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478048,Burger Joint,Weekend,1,12.18,35,15,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476572,Blue Ribbon Fried Chicken,Weekday,0,29.15,20,29,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477873,Shake Shack,Weekend,1,12.08,29,24,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477453,Shake Shack,Weekend,1,9.41,22,20,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476903,Sarabeth's,Weekend,1,25.17,28,23,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478274,Waverly Diner,Weekend,1,22.8,25,21,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476629,Melt Shop,Weekend,1,12.66,27,26,3,0,1
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1478239,Shake Shack,Weekend,1,12.95,30,26,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476761,Blue Ribbon Fried Chicken,Weekday,0,24.25,33,30,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476953,Westville Hudson,Weekend,1,20.13,29,19,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477131,The Smile,Weekend,1,12.13,29,24,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477798,Five Guys Burgers and Fries,Weekend,1,13,29,27,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476650,J. G. Melon,Weekend,1,8.35,29,23,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1476916,Dickson's Farmstand Meats,Weekend,1,15.72,23,28,4,0,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477633,Shake Shack,Weekend,1,29.1,29,17,5,1,0
American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1477230,Shake Shack,Weekend,1,12.66,35,24,5,1,0
